CustomerID,First Name,Last Name,EMAIL,Phone_Number,DOB,Gender,Province,City,PostalCode,JoinDate,BranchID,CustomerSegment
C0020,Jennifer,Cruz,psanchez@example.net,216-328-7083,24/03/1954,M,NB,Fredericton,G9T6X8,17-Jun-2012,BR006,
C0021,Cheyenne,Ball,jrivas@example.com,877 434 8734,09/07/1984,Non-binary,NS,Halifax,M6K 6L9,24/07/2018,BR015,
C0022,Christopher,Hernandez,tbenson@example.org,766.587.6036,11/04/1960,Female,MB,Winnipeg,R6V 5A7,16-Jan-2022,BR011,
C0023,Melissa,Ashley,vmedina@example.net,(373) 467-0656,02-Jan-1989,Female,BC,Burnaby,G7Y1A2,19-Jul-2013,BR001,
C0024,Dawn,Taylor,qwhite@example.com,1 (837) 556-4641,1995-07-19,Non-binary,MB,Winnipeg,Y4B 2P1,21-May-2012,BR010,
C0025,Karen,Herring,maryhowell@example.org,271 937 4529,1983-07-19,Non-binary,QC,Quebec City,M5E 7A7,16/08/2013,BR017,
C0026,Shelly,Gonzalez,curtisbarton@example.net,190.586.5185,30/01/1979,male,ON,Hamilton,V6E8S3,2020-12-16,BR004,
C0027,Ryan,Gross,christina87@example.com,+1 (794) 531-4737,26/06/1971,Male,SK,Regina,A3V8N4,20/04/2011,BR019,
C0028,Michael,Green,nicole48@example.org,(531) 367-8377 x701,07-Aug-1993,Non-binary,BC,Vancouver,R6K 8M9,21-Jul-2011,BR005,
C0029,Alyssa,Coleman,michael74@example.com,1-831-351-8233,29-Apr-1999,female,AB,Lethbridge,X4M5E4,14/09/2013,BR017,
C0030,Michael,Turner,joshuamccann@example.net,1-627-109-4777,20-May-1998,Non-binary,NS,Halifax,B2L 2V7,2014-07-06,BR010,
C0031,Travis,Ray,,,21-Apr-1989,F,NS,Dartmouth,,10/08/2021,BR004,
C0032,Stacey  ,Clark,josephmiller@example.org,181 206 7974,30/09/1955,Male,QC,Quebec City,M2M 4T5,2017-08-01,BR019,
C0033,Kristin,Weber,ronaldstephens@example.net,842 102 4994,24/08/1950,Non-binary,QC,Quebec City,T5M 9R9,05-Aug-2011,BR002,
C0034,Troy,Miller,prestonjessica@example.net,1-301-399-0490,1952-10-26,male,QC,Montreal,X3T7L8,30/05/2017,BR017,
C0035,Tanya,Harrison,qcook@example.org,656 746 8071,20/07/1993,Non-binary,QC,Laval,N9E1R9,22/10/2014,BR005,
C0036,Steven,Brown,cindy77@example.org,(448) 247-7109,07-Jun-1992,Male,NB,Fredericton,M9Y 7A2,2019-02-17,BR004,
C0037,Jeffrey,Skinner,murraydavid@example.org,948-467-7378 x263,14-Oct-1981,F,BC,Surrey,C6L 9S5,02/07/2019,BR015,
C0038,Lori,Campbell,mary97@example.org,787-558-8675 x339,10-Jun-1955,Non-binary,ON,Toronto,S8B 7N7,12/01/2019,BR011,
C0039,Vanessa  ,Sparks,tylerjohnson@example.net,1 (217) 187-0262,11/03/1967,Non-binary,BC,Victoria,L2N6R9,2014-04-08,BR015,
C0040,Norman,Stewart,cbrennan@example.net,534.316.1172,18/06/1966,female,AB,Lethbridge,B5N 6B6,2016-03-31,BR008,
C0041,Ryan,Sanchez,yknight@example.org,421 969 3792,17/05/1999,male,BC,Surrey,L1T8L5,13-Mar-2012,BR018,
C0042,Erica,Moore,llandry@example.com,+1 (647) 436-7136,17-Mar-1971,Female,ON,Toronto,M5A1R1,24-Sep-2013,BR016,
C0043,Renee,Mcgee,kimberly39@example.com,(639) 421-0470,24-Dec-1985,male,NB,Fredericton,C7M 3N4,26/04/2011,BR013,
C0044,David,Ryan,alyssa42@example.com,145-171-2368 x516,17-Oct-1973,F,ON,Brampton,Y6E5T7,2020-03-16,BR014,
C0045,Lynn,Bentley,leonardthomas@example.net,(859) 317-4612 x004,1967-01-14,Male,NB,Fredericton,E3K 7Y8,27/08/2016,BR002,
C0046,Nathan  ,Avery,,,17/02/1955,Non-binary,ON,Mississauga,,15-Feb-2011,BR016,
C0047,Raymond,Lopez,rushmadison@example.org,(990) 053-2931,1995-07-24,male,AB,Calgary,J3K 1N5,19-Oct-2011,BR003,
C0048,Michele,Thomas,amberlindsey@example.org,120-539-5024,23/03/1986,Non-binary,BC,Victoria,S2X 8E8,09-Sep-2012,BR008,
C0049,Kimberly,Palmer,hayesjeffrey@example.net,884-700-7661,10/05/1957,Non-binary,ON,Hamilton,C3C2N3,28-May-2019,BR019,
C0050,Joshua,Schultz,oscar98@example.com,889-611-8367 x365,29-Apr-1968,M,SK,Regina,S7E6N5,17-Jan-2017,BR009,
C0051,Nicholas,Hernandez,fjones@example.org,+1 (215) 280-9885,30/11/1976,female,NS,Halifax,P5S5B6,03/04/2020,BR003,
C0052,Dale,Romero,dianewalker@example.org,1 (985) 149-3689,05/07/2000,male,ON,Brampton,L5A 5H6,30/03/2012,BR018,
C0053,Michael,White,ashleymorales@example.org,518-366-7525,19/11/1961,male,QC,Laval,C3B1G2,2017-10-30,BR008,
C0054,Joseph,Stanley,alawson@example.com,(581) 561-4978,26/02/1964,Non-binary,SK,Regina,K1R 4B5,30/10/2019,BR010,
C0055,Sierra,Saunders,keith10@example.com,+1 (722) 683-8851,10/11/1976,male,ON,Hamilton,S2A 6T7,28/04/2012,BR009,
C0056,Ashley,Mckinney,zroberts@example.org,1 (729) 751-6136,20/08/1999,F,BC,Vancouver,R4M 6N3,27-Jun-2013,BR010,
C0057,Charles,Schultz,rebeccabailey@example.net,331 243 2921,1968-04-07,Non-binary,QC,Laval,T6T3N8,03/12/2015,BR016,
C0058,Carlos  ,Ramos,laura90@example.com,(914) 770-0541 x199,13-Apr-1958,Female,MB,Winnipeg,T8Y4B6,02-Jul-2019,BR002,
C0059,Cassidy,Mason,hayeslisa@example.com,382.037.7889,26-Sep-1961,male,ON,Mississauga,P7M6R1,16-Nov-2015,BR015,
C0060,Kristina,Holland,riveraangela@example.com,1-749-251-9254,14-Jan-1960,Non-binary,NS,Halifax,C7M 6Y3,09-Sep-2011,BR005,
C0061,Elizabeth,Calderon,lucasrodney@example.com,354-235-7332,28/07/1999,Female,ON,Mississauga,M9E 9X1,28-Apr-2013,BR005,
C0062,Ebony,Walter,carlamoore@example.org,470 653 7947,18/09/1982,female,ON,Mississauga,M6V 8J8,23/11/2010,BR007,
C0063,Kayla  ,Strickland,mburch@example.net,240 758 1814,24/09/1981,F,QC,Montreal,L3T 7X2,23-Jul-2022,BR020,
C0064,Stacey,Walker,bwilkerson@example.com,668-536-1530,30-Jul-1964,female,AB,Edmonton,N1G 5G8,21/12/2013,BR001,
C0065,Heather,Taylor,awest@example.org,443-289-8614,1986-12-09,Female,AB,Red Deer,E7B8K2,26/07/2015,BR006,
C0066,Daniel  ,Stein,chenbailey@example.net,246 095 3962,22-Jun-1953,Male,BC,Surrey,C9X9Y9,22/07/2020,BR007,
C0067,Andrew,Marks,,,19/05/1977,male,NB,Moncton,,08-Feb-2015,BR001,
C0068,Jennifer,Acevedo,carterbradley@example.org,554-868-7403,14-Jun-1979,Male,QC,Gatineau,B2N6L7,2016-04-01,BR009,
C0069,Pamela,Paul,lmorgan@example.com,258-416-1692 x845,08/02/1998,male,SK,Regina,N8M 7M3,2017-06-05,BR004,
C0070,Hannah,Bell,,,1973-10-25,male,MB,Winnipeg,,10-Nov-2010,BR020,
C0071,Stacy  ,Johnson,erikarush@example.com,819-285-6543 x102,21-Feb-1978,Non-binary,NS,Dartmouth,Y5E8L4,2019-10-15,BR017,
C0072,Wendy,Mitchell,igonzalez@example.org,627-155-1884 x422,20-Jan-1967,Male,BC,Surrey,E4J 8G1,2015-09-18,BR014,
C0073,Michael  ,Armstrong,jlara@example.org,314.678.6691,1998-04-22,Female,ON,Hamilton,C9T6T3,2014-06-03,BR014,
C0074,Natalie  ,Deleon,katrinaanderson@example.net,918-242-2535,01-Mar-1978,Non-binary,BC,Burnaby,C9L5J3,2012-10-17,BR010,
C0075,Colleen  ,Mendez,shawgary@example.net,529 959 0010,1979-04-07,Non-binary,MB,Brandon,S9A 5V5,10/01/2019,BR010,
C0076,Timothy  ,Ballard,eevans@example.net,627-677-3592,21-Sep-1987,Non-binary,AB,Edmonton,P6R9G9,03/07/2018,BR006,
C0077,Daniel,Allen,adamsjohn@example.org,446-963-2595,27-Feb-1999,Female,MB,Brandon,V8X 5T8,2010-01-04,BR010,
C0078,Andrew,Landry,nlevy@example.net,1 (200) 479-7480,1978-11-29,Female,QC,Gatineau,G7L6P1,06-Jun-2020,BR015,
C0079,Richard,Hudson,,,23-Mar-1965,F,QC,Gatineau,,2011-11-26,BR017,
C0080,Benjamin  ,Reeves,jstone@example.net,(925) 952-6949 x588,1971-01-27,Male,SK,Saskatoon,M6V6A2,17/12/2016,BR007,
C0081,Tina,Silva,carlsonjoseph@example.net,(109) 728-9623,23-Feb-1954,F,AB,Calgary,J6A 7T3,2015-06-29,BR020,
C0082,Robert,Harris,vsalas@example.net,328-385-7865,08-Mar-1987,male,BC,Surrey,Y6N5Y8,2022-11-29,BR013,
C0083,James,Wright,jeffrey44@example.net,(975) 758-4419,21-Nov-1971,Non-binary,NB,Moncton,R5P1G5,23/04/2013,BR001,
C0084,Stephanie,Miller,vdouglas@example.com,(438) 484-2199,19/08/1969,Non-binary,BC,Surrey,B4X 1K2,11-Dec-2013,BR017,
C0085,Robert  ,Love,maldonadoderrick@example.net,467 734 5401,2000-01-04,M,NB,Fredericton,H1S 7H8,04/08/2015,BR015,
C0086,Jacob,Curry,nancy04@example.net,554.788.7287,1997-08-26,Non-binary,AB,Lethbridge,E8N 5H3,2022-07-15,BR011,
C0087,Alexis,Rogers,ashley32@example.net,+1 (668) 516-1227,15-Apr-1995,Non-binary,NB,Saint John,A4L 8R5,28-Jul-2019,BR015,
C0088,Stephanie,Turner,greenmichael@example.org,617-426-8414,18/05/1990,M,AB,Lethbridge,K3G 8V6,25/10/2015,BR009,
C0089,Robert,Dunn,ztodd@example.net,(239) 187-8519,19-Jun-1971,female,NB,Saint John,Y9X 3J3,28-Feb-2016,BR003,
C0090,Mark  ,Meyer,frazierjennifer@example.com,187.072.8679,18/05/1974,female,MB,Winnipeg,M5A1R4,14-Jul-2017,BR018,
C0091,Beth  ,Williams,isabella80@example.org,904-622-6567 x661,1963-07-14,Female,BC,Victoria,P9E 7H9,2015-03-10,BR005,
C0092,David,Irwin,avilatiffany@example.com,(768) 633-7524 x310,22/03/1987,Female,QC,Montreal,K2J 1C8,22/02/2019,BR018,
C0093,Carla,Warner,sanchezbradley@example.com,(683) 028-4395,1955-08-03,Female,NB,Moncton,M4G 7X5,22-Aug-2014,BR013,
C0094,Joshua,Hawkins,conniesimmons@example.com,356-856-6246,1984-02-16,male,ON,Hamilton,K3K8M1,2020-09-12,BR012,
C0095,Anna,Faulkner,paulscott@example.com,175.183.0469,1987-08-05,Non-binary,MB,Brandon,J8Y 4J6,27-Jan-2022,BR018,
C0096,Kevin,Stout,,,08-Sep-1969,F,QC,Gatineau,,14/02/2016,BR016,
C0097,Kathleen,Flores,nathangutierrez@example.net,(420) 489-9642,1980-02-27,Non-binary,ON,Brampton,K8R9K6,26/01/2019,BR006,
C0098,Jonathan  ,Underwood,umurray@example.com,128 728 0801,02-Dec-1997,F,NB,Fredericton,S2G 3K1,09-Aug-2010,BR019,
C0099,Jeffery,Bryant,williamsonelizabeth@example.net,170-088-6008 x484,1988-06-14,Female,ON,Toronto,H9E3E4,2013-01-16,BR006,
C0100,James,Fox,joseph61@example.com,+1 (779) 334-1016,1984-01-05,M,ON,Mississauga,Y1V3B2,05/05/2017,BR015,
C0101,Vincent,Hamilton,ariel18@example.org,(139) 740-1489,06-Jan-1984,female,SK,Regina,N3A 7J2,2016-03-29,BR009,
C0102,Kevin  ,Elliott,irhodes@example.com,+1 (621) 850-1631,28/09/1951,Male,BC,Surrey,N8A8L4,2022-02-05,BR012,
C0103,Michael  ,Pugh,llopez@example.net,+1 (319) 431-1426,1953-08-12,Male,QC,Montreal,N2P1E5,2010-09-12,BR007,
C0104,Sean,Juarez,andersonjacob@example.com,(788) 610-1581 x995,1963-09-03,male,ON,Hamilton,M2S 9R4,09-May-2015,BR016,
C0105,Ashley,Jackson,rjackson@example.com,1-272-126-4647,22/07/1969,Non-binary,BC,Richmond,L4K8V2,06/06/2020,BR009,
C0106,Derek,Smith,ncook@example.com,1 (875) 692-4593,11/04/1960,Female,SK,Saskatoon,H5R8N4,03/09/2013,BR004,
C0107,Mark,Ramirez,kdiaz@example.org,(428) 073-7416 x724,03-Sep-1983,Non-binary,ON,Mississauga,G2S8R8,24-Nov-2018,BR007,
C0108,Brandi,Ferguson,ystephens@example.com,(291) 135-2909 x656,1971-10-15,Non-binary,BC,Richmond,E9L 9K9,14-Apr-2012,BR010,
C0109,Beverly,Johnston,dbrooks@example.net,(625) 071-4611 x254,1953-09-07,Non-binary,BC,Richmond,J6X8V2,2017-10-15,BR014,
C0110,Samuel,Horton,carlos01@example.org,1 (712) 382-8258,1995-05-24,Male,SK,Saskatoon,K3R7H7,27/08/2017,BR014,
C0111,Anthony  ,Mendez,shannonjordan@example.org,(434) 191-8255,22/11/1988,Non-binary,NB,Fredericton,E9L6V7,15/02/2018,BR015,
C0112,Cheryl,Matthews,michael79@example.org,1-399-125-1341,20/10/1965,Non-binary,AB,Lethbridge,G7X3R7,14-Sep-2021,BR009,
C0113,Rodney,Tucker,angelaburns@example.org,757 905 0723,28-Jan-1989,F,NB,Moncton,S8V8S3,16-Apr-2023,BR011,
C0114,Christopher,Johnson,kellyhill@example.net,1-527-978-8191,1975-01-09,male,QC,Montreal,Y9B4T7,10-Feb-2020,BR015,
C0115,Curtis,Greer,kennethkidd@example.com,1-751-713-3959,1952-07-29,female,NS,Dartmouth,G1J 6J9,2021-02-01,BR006,
C0116,Juan,Ryan,,,31/10/1981,Female,NB,Fredericton,,2015-10-18,BR009,
C0117,Nicholas,Jones,powellkara@example.net,1 (977) 590-1751,07-May-1996,M,MB,Winnipeg,J8S5J6,15-Apr-2014,BR008,
C0118,Maria,Morgan,ashleewashington@example.com,701-701-2770,23-Oct-1999,Non-binary,NS,Dartmouth,G5M 2H6,23/05/2015,BR016,
C0119,John,Watson,brettgarrett@example.net,(461) 103-7129,1951-07-20,F,NB,Moncton,A2A7N3,02/02/2012,BR008,
C0120,Tim,Perez,crosscurtis@example.com,1 (342) 622-1890,1977-06-21,F,NS,Halifax,P7J8G4,17-Jan-2023,BR016,
C0121,Christopher  ,Garcia,lawrencepatrick@example.com,1 (523) 413-8999,1999-05-19,Female,SK,Regina,M9J 4X7,02-Jun-2017,BR015,
C0122,Kenneth,Brown,troyrodriguez@example.com,980.552.6965,21/07/1972,male,MB,Brandon,V2C 1A5,2015-03-04,BR007,
C0123,Jason,Livingston,ohunter@example.net,(966) 618-8924 x141,28/01/1998,Male,SK,Saskatoon,G7Y 2N5,2014-02-25,BR007,
C0124,Holly,Blair,brianmiller@example.com,179.904.2102,1997-01-25,Female,NB,Moncton,V9P 5X3,21-May-2023,BR004,
C0125,Nathan  ,Brady,jessica10@example.com,+1 (648) 149-1778,30-May-1970,male,QC,Laval,V3H 5P2,2018-02-04,BR010,
C0126,Patricia,Craig,perezwilliam@example.org,730-756-2208,1961-05-10,male,ON,Hamilton,N6K 5S2,26/02/2016,BR002,
C0127,Ashley,Wilson,whitelinda@example.org,+1 (617) 445-1870,15/01/1994,Male,MB,Winnipeg,M8M 6K8,2012-04-20,BR019,
C0128,Whitney,Parsons,edwardrandolph@example.org,(985) 050-6413,12-Dec-1992,F,MB,Brandon,S3V 5B2,18-Nov-2019,BR006,
C0129,Bradley,Hall,,,10/11/1992,Male,ON,Mississauga,,2012-07-23,BR013,
C0130,Louis,Nelson,hardingderek@example.net,621.277.5618,23-Oct-1954,Male,NB,Fredericton,T5M 2T2,27-May-2013,BR019,
C0131,Eric,Parks,lewismelissa@example.org,735.680.4420,07-Apr-1972,Non-binary,MB,Winnipeg,Y2Y8K2,28-Aug-2012,BR014,
C0132,Linda,Taylor,brownkimberly@example.org,236 519 9410,02/06/1990,Female,QC,Gatineau,T6G 2C1,2019-12-06,BR019,
C0133,Sheri,Williams,zunderwood@example.com,366-253-2447,28-May-1955,Non-binary,NS,Dartmouth,K7M 9V8,04-Sep-2023,BR004,
C0134,Bruce,Ramirez,robertday@example.net,(980) 657-8759,28/09/1973,male,QC,Quebec City,R1L6H4,2011-10-28,BR008,
C0135,Anthony  ,Cochran,brian78@example.com,(721) 334-8039,17-Jan-1964,Female,AB,Calgary,H6H6K1,22-Jan-2010,BR015,
C0136,Jade  ,Bell,annalopez@example.com,(142) 701-0393 x087,1952-12-05,female,NB,Moncton,J3G6N1,12/03/2015,BR010,
C0137,Andrew,Willis,kimmathis@example.com,756.915.4522,1970-12-10,Non-binary,NB,Fredericton,N6H4Y3,2015-12-08,BR019,
C0138,Nicholas,Gross,david09@example.com,629-593-9172,18/04/1960,male,QC,Gatineau,K3P 2N6,20/03/2022,BR005,
C0139,Sean,Baker,heatherbell@example.org,906-762-6765,1956-05-28,M,MB,Winnipeg,E3V8K2,04/05/2011,BR010,
C0140,Lauren,Johnson,floresstephanie@example.org,1 (826) 218-1599,26/02/1961,Non-binary,MB,Brandon,S3H 1S2,2020-07-06,BR010,
C0141,Mark,Mccann,uterry@example.net,(644) 431-0698 x720,1994-11-25,Female,NS,Dartmouth,S8C 4M2,10-Feb-2022,BR015,
C0142,Anthony,Jackson,tiffany71@example.com,+1 (677) 418-6256,30-Jul-1953,Non-binary,BC,Richmond,T8B 8L5,10/09/2019,BR011,
C0143,Jeremy,Adams,hernandezheather@example.org,758.693.8068,1958-03-12,Non-binary,MB,Winnipeg,K2V7M1,2015-02-19,BR019,
C0144,Wayne,Lester,davidtodd@example.org,533 206 1632,11-Aug-1953,Female,ON,Mississauga,C9C7R9,06/12/2013,BR017,
C0145,Mark,Hill,astark@example.net,(561) 622-9991 x191,1966-04-14,female,NB,Moncton,S8L8R1,2023-02-17,BR016,
C0146,Gerald,Powell,vwilliams@example.net,(807) 450-5444,1981-03-20,F,BC,Surrey,K8G 6M5,28/02/2019,BR011,
C0147,Jessica,Jacobs,lopezjason@example.com,185-082-1486 x289,04-Aug-1979,Non-binary,BC,Victoria,J4J 1B8,27-Mar-2019,BR016,
C0148,Brent,Ward,joshuacolon@example.net,+1 (910) 357-9727,09-May-1999,Female,MB,Brandon,P2H5L1,2010-10-28,BR003,
C0149,Paul,Martin,mercedesholland@example.net,(146) 800-7229,1979-01-02,F,SK,Regina,L7M 7L6,07/08/2012,BR017,
C0150,Stephen,Robinson,erica96@example.net,808.589.9441,13/06/1991,Male,ON,Hamilton,N5L 5N5,09-Apr-2019,BR007,
C0151,Jacob,Holmes,racheltrujillo@example.net,+1 (152) 074-4666,28/08/1989,male,SK,Regina,N8K 6Y9,27/02/2011,BR009,
C0152,Kevin,Jackson,kellyruiz@example.net,1-682-513-5346,22/04/1989,male,AB,Red Deer,L2M8T1,14/11/2020,BR001,
C0153,Michelle,Silva,kennedyjames@example.org,+1 (884) 602-2356,1977-11-17,M,QC,Quebec City,N8H 6C3,2022-05-10,BR018,
C0154,Lawrence,Brown,whill@example.org,771 296 6667,1970-02-27,Female,NS,Halifax,B6Y 1J6,18-Jul-2012,BR004,
C0155,Katherine,Schmidt,rhodescourtney@example.org,(254) 216-8942,08/03/1976,Non-binary,AB,Lethbridge,M9M 9T6,31/05/2021,BR009,
C0156,Ryan,Mcdaniel,matthewvalenzuela@example.com,(926) 033-2309,1992-05-13,female,NS,Dartmouth,E7P 5B9,2015-06-20,BR018,
C0157,Cindy,Wheeler,stanleydesiree@example.org,416-761-8472,1967-02-06,Non-binary,AB,Lethbridge,M9S 5E3,2023-06-12,BR005,
C0158,Robert,Roach,campbellkristen@example.com,(193) 483-5642,24-Mar-1987,Non-binary,BC,Burnaby,J4V1N1,16/08/2017,BR009,
C0159,Emily,Meadows,,,1976-10-14,Non-binary,ON,Mississauga,,02-Mar-2023,BR016,
C0160,Melissa,Zamora,christianelizabeth@example.org,1 (757) 941-5521,27-Apr-1998,Female,AB,Lethbridge,T8L7R3,11-Nov-2020,BR011,
C0161,Daniel,Horton,jarvismegan@example.org,+1 (197) 972-9659,1978-11-14,Non-binary,NS,Dartmouth,V7V 8E1,26/03/2014,BR008,
C0162,Bryan,Pena,busherica@example.net,(758) 891-6375,1986-11-08,female,NS,Halifax,Y3B 9A8,24/12/2010,BR016,
C0163,Melissa,Booth,waltonmalik@example.com,1-808-386-6317,1963-08-25,Male,NS,Dartmouth,C6V2T8,2021-02-09,BR005,
C0164,Julie,Smith,jgutierrez@example.net,619-948-8375,02/07/1989,Non-binary,SK,Saskatoon,K9T 8N6,27-Mar-2012,BR015,
C0165,Jennifer,Wilson,aaronkelly@example.net,1-288-510-2726,13/10/1986,Male,ON,Ottawa,J7J4E8,18-Jun-2013,BR016,
C0166,Makayla,Lee,,,29-Aug-1985,female,MB,Brandon,,2011-10-20,BR018,
C0167,Paul,Burke,william66@example.net,(946) 547-2269,11-Oct-1993,Male,NS,Dartmouth,Y4N4Y4,19/02/2022,BR020,
C0168,Claudia,Roberts,samantha22@example.net,(951) 587-9968 x460,1975-10-13,Non-binary,BC,Victoria,A1R 1G4,2015-02-07,BR003,
C0169,Joseph,Floyd,frances20@example.net,1-938-057-1983,07/01/1959,Male,NS,Halifax,K1X7M7,2019-12-14,BR010,
C0170,Robert,French,tammy00@example.net,1-439-735-9893,1979-02-07,Female,ON,Toronto,T3H3C9,2011-04-05,BR012,
C0171,David,Williams,,,23-Jan-1963,Non-binary,SK,Regina,,24/06/2015,BR014,
C0172,Susan  ,Meyer,robertherrera@example.org,1 (833) 555-4398,1965-09-15,Non-binary,AB,Edmonton,E4P 4T1,2011-10-09,BR013,
C0173,Felicia,Flores,cruzamber@example.com,685-887-7043,03/11/1962,Female,QC,Gatineau,E9H 1Y2,18/03/2015,BR009,
C0174,Jason  ,Soto,michellecoleman@example.org,(286) 120-7501,04/11/1950,F,NB,Moncton,H2L 4Y5,2020-06-08,BR018,
C0175,Rickey  ,Hayes,,,18/08/1989,Non-binary,AB,Calgary,,2017-10-01,BR010,
C0176,Lynn,Johnson,amandataylor@example.com,(742) 450-8821 x009,26/12/1990,Male,NS,Dartmouth,M4J 7P9,2016-10-10,BR013,
C0177,Douglas  ,White,james29@example.org,(378) 141-4139 x755,1971-04-13,Non-binary,NB,Fredericton,E4M 6C8,22-Jul-2018,BR012,
C0178,Shannon,Jensen,,,1951-12-20,F,MB,Brandon,,17/11/2018,BR001,
C0179,Tony,Rodriguez,wilkinsonmichele@example.org,(134) 110-8099 x693,25/07/1994,Male,ON,Hamilton,Y3Y6V7,2016-06-02,BR020,
C0180,Jeffrey,Barton,dennis88@example.org,+1 (358) 039-2827,1967-01-22,female,SK,Saskatoon,G1V 4P8,05/12/2023,BR005,
C0181,Jesse,Baker,bradclark@example.com,+1 (977) 005-1844,19/09/1977,M,BC,Vancouver,R2R 9P5,21/11/2019,BR019,
C0182,Nicholas  ,Solomon,wgomez@example.com,390-827-2318 x432,01/02/1958,female,SK,Saskatoon,P7E 6K2,14/08/2016,BR014,
C0183,Timothy,Mendoza,,,1961-11-09,Female,AB,Edmonton,,05-Feb-2022,BR017,
C0184,Natalie  ,Luna,stacey37@example.net,672-369-2929 x842,20/01/1973,Female,MB,Winnipeg,C7K3R2,22/10/2020,BR011,
C0185,Allen,Mills,mserrano@example.org,379 908 8117,1956-10-03,Male,BC,Surrey,S6X 1S9,27-Feb-2013,BR013,
C0186,Roy  ,Mays,yclarke@example.com,762.473.1498,26-May-1985,Female,SK,Saskatoon,J9A2A9,25-Apr-2010,BR018,
C0187,Adrian,Pena,,,25/01/1983,Non-binary,BC,Surrey,,18/11/2015,BR013,
C0188,Vanessa,Lane,qfitzgerald@example.org,(172) 138-6589,23/12/1970,male,SK,Saskatoon,R3A 8C7,29-Jul-2020,BR020,
C0189,Christopher,Baker,christopher06@example.com,(949) 027-7038 x430,03/09/1955,Non-binary,SK,Saskatoon,H4B 1P3,31/05/2020,BR010,
C0190,Christopher,Hill,zgomez@example.com,(680) 118-4895,17-Jul-1962,Male,NS,Halifax,K7J1T5,07-Jan-2011,BR010,
C0191,Gregory,Hunter,gordonmatthew@example.org,(148) 947-6973 x577,20/09/1958,Non-binary,NB,Fredericton,E7L4C4,2015-04-08,BR005,
C0192,Lauren,Gutierrez,zachary04@example.org,1-416-518-2755,15/04/1983,F,NS,Dartmouth,H4J4V4,12/02/2022,BR019,
C0193,Monique  ,Clark,maryhuff@example.com,611 179 0807,1958-11-19,Non-binary,AB,Lethbridge,V3L9V5,22/12/2020,BR014,
C0194,Raymond,Christensen,brianlloyd@example.com,(408) 562-7187 x500,1983-03-30,F,MB,Winnipeg,E5N3P9,15/11/2014,BR015,
C0195,Jose,Adams,michael76@example.org,+1 (455) 647-2929,30/11/1958,Non-binary,QC,Laval,L7K 7Y4,29/03/2018,BR012,
